39,ATVPDKIKX0DER,5
39,ATVPDKIKX0DER,5
39,A189DVDWB4O8DI,5
39,ATVPDKIKX0DER,3
39,A36LQ6YO8HKHZT,1
39,A1YI1ZTJY81UEL,3
39,ATVPDKIKX0DER,5
39,A2K62BXZH3QJX9,5
39,A37YGFDEME1FC5,1
39,A1X4MP1TV1SICV,2
39,A3J8QBBRL46I3G,4
39,A2PBWHRZ5LDMB2,4
39,A3OWQALP4WBX3,2
39,A1TORR3I04X1E4,5
39,A2WODBTSVEKOI,2
39,A30J0F40NNYKEQ,5
39,AOUJJ4ENAEUD9,2
39,A6M0811ZCQMSC,4
39,AV7OIUTLDFZR0,2
39,A37CXU92U7FYJH,4
39,A2D7X9N3IV3S7B,2
39,A3VREOCVARPZRM,5
90,ATVPDKIKX0DER,5
90,ATVPDKIKX0DER,5
90,ATVPDKIKX0DER,5
90,ATVPDKIKX0DER,5
90,ATVPDKIKX0DER,5
90,ATVPDKIKX0DER,5
90,A1G9GVZH03N23Z,5
90,ATVPDKIKX0DER,5
90,ATVPDKIKX0DER,5
90,ATVPDKIKX0DER,5
90,ATVPDKIKX0DER,5
90,ATVPDKIKX0DER,4
90,ATVPDKIKX0DER,5
90,ATVPDKIKX0DER,5
90,ATVPDKIKX0DER,5
90,A15JCAD31CZCVJ,4
90,A2F1QVCAKS1WVV,5
90,A9SC490GQ3GN6,5
90,AHHUNTFQGUGX8,5
90,AXDGHUS4BQIYC,5
90,A3JOUOITG0TJY3,1
90,A1AV32Q6I8M1LX,4
90,A1AV32Q6I8M1LX,4
90,AM1VFW804J5FL,5
90,A22YN3HRTPKZ41,5
90,AL4A3KNUBQ7YN,5
90,A3AAL5TGOW29X3,4
90,A3KXFQQFBPJTQE,5
90,AZONDLSR7STAE,5
90,A36KTKEJTO62D8,5
90,A3PWQXT5QGEKN7,5
90,ACJ023CBVAN9Y,5
90,AYRYIQ7L0SST2,5
90,A222LQEPE7O7BV,5
90,AK4OXXHG0TJ0S,5
90,A39NS429FYXAD1,5
